,Hatch Time (Cycles),Height (m),Weight (kg),Base Experience Yield,Base Friendship,Male Ratio,Female Ratio,Pseudo Legendary,Legendary,Mythical,Ultra Beast,Paradox,Total EV Yield,Total Base Stat,Normal,Poison,Ground,Rock,Bug,Ghost,Steel,Dragon,Dark,Flying,Fire,Psychic,Ice,Fighting,Water,Grass,Electric,Fairy
0,20,0.7,6.9,64,70,0.875,0.125,0.0,0.0,0.0,0.0,0.0,1,318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5
1,20,1.0,13.0,141,70,0.875,0.125,0.0,0.0,0.0,0.0,0.0,2,405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5
2,20,2.0,100.0,208,70,0.875,0.125,0.0,0.0,0.0,0.0,0.0,3,525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.25,0.5,0.5
3,20,0.6,8.5,65,70,0.875,0.125,0.0,0.0,0.0,0.0,0.0,1,309,1.0,1.0,2.0,2.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,2.0,0.5,1.0,0.5
4,20,1.1,19.0,142,70,0.875,0.125,0.0,0.0,0.0,0.0,0.0,2,405,1.0,1.0,2.0,2.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,2.0,0.5,1.0,0.5
5,20,1.7,90.5,209,70,0.875,0.125,0.0,0.0,0.0,0.0,0.0,3,534,1.0,1.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.25,0.5,1.0
6,20,0.5,9.0,66,70,0.875,0.125,0.0,0.0,0.0,0.0,0.0,1,314,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
7,20,1.0,22.5,143,70,0.875,0.125,0.0,0.0,0.0,0.0,0.0,2,405,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
8,20,1.6,85.5,210,70,0.875,0.125,0.0,0.0,0.0,0.0,0.0,3,530,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0
9,15,0.3,2.9,53,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,195,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
10,15,0.7,9.9,72,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,205,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
11,15,1.1,32.0,160,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,385,1.0,1.0,0.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.25,1.0,0.25,2.0,1.0
12,15,0.3,3.2,52,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,195,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.25,1.0,0.25,1.0,0.5
13,15,0.6,10.0,71,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,205,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.25,1.0,0.25,1.0,0.5
14,15,1.0,29.5,159,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,385,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.25,1.0,0.25,1.0,0.5
15,15,0.3,1.8,55,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,251,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0
16,15,1.1,30.0,113,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,349,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0
17,15,1.5,39.5,172,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3,469,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0
18,15,0.3,3.5,57,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,253,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0
19,15,0.7,18.5,116,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,413,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0
20,15,0.3,2.0,58,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,262,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0
21,15,1.2,38.0,162,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,442,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0
