Pokedex number,Name,Category,Abilities,Catch Rate,Egg Groups,Hatch Time (Cycles),Height (m),Weight (kg),Base Experience Yield,Levelling Rate,Base Friendship,Male Ratio,Female Ratio,Locations,Moves,Gen,Evolves From,Pseudo Legendary,Legendary,Mythical,Ultra Beast,Paradox,HP EV,Atk EV,Def EV,Sp.Atk EV,Sp.Def EV,Speed EV,Total EV Yield,Total Base Stat,HP Stat,Atk Stat,Def Stat,Sp.Atk Stat,Sp.Def Stat,Speed Stat,Normal,Poison,Ground,Rock,Bug,Ghost,Steel,Dragon,Dark,Flying,Fire,Psychic,Ice,Fighting,Water,Grass,Electric,Fairy,Type1,Type2
1,Bulbasaur,Seed Pokémon,"['Chlorophyll', 'Overgrow']",45,"['Monster', 'Grass']",20,0.7,6.9,64,Medium Slow,70,0.875,0.125,"{'Red': 'First partner Pokémon from Professor Oak in Pallet Town', 'Blue': 'First partner Pokémon from Professor Oak in Pallet Town', 'Blue (Japan)': 'First partner Pokémon from Professor Oak in Pallet Town', 'Yellow': ""Received from a girl in Cerulean City if the partner Pikachu's friendship is 147 or higher"", 'Gold': 'Time Capsule, Event', 'Silver': 'Time Capsule, Event', 'Crystal': 'Time Capsule, Event', 'Ruby': 'Trade, Event', 'Sapphire': 'Trade, Event', 'Emerald': 'Trade, Event', 'FireRed': 'First partner Pokémon from Professor Oak in Pallet Town', 'LeafGreen': 'First partner Pokémon from Professor Oak in Pallet Town', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Trade', 'Pearl': 'Trade', 'Platinum': 'Trade', 'HeartGold': 'Received from Professor Oak in Pallet Town after defeating Red', 'SoulSilver': 'Received from Professor Oak in Pallet Town after defeating Red', 'Pal Park': 'Field', 'Black': 'Global Link Event', 'White': 'Global Link Event', 'Black 2': 'Poké Transfer, Event', 'White 2': 'Poké Transfer, Event', 'X': 'Received from Professor Sycamore in Lumiose City after defeating him', 'Y': 'Received from Professor Sycamore in Lumiose City after defeating him', 'Omega Ruby': 'Trade, Event', 'Alpha Sapphire': 'Trade, Event', 'Sun': 'Trade', 'Moon': 'Trade', 'Ultra Sun': 'Route 2 (Island Scan)Fr', 'Ultra Moon': 'Route 2 (Island Scan)Fr', ""Let's Go Pikachu"": 'Viridian Forest', ""Let's Go Eevee"": 'Viridian Forest', 'Sword': 'Wild Area News, Pokémon HOME Event', 'Shield': 'Wild Area News, Pokémon HOME Event', 'Expansion Pass': 'Master Dojo (Only one; Gigantamax Factor)', 'Brilliant Diamond': 'Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Riverbank Cave, Still-Water Cavern, Bogsunk Cavern (after obtaining the National Pokédex)', 'Shining Pearl': 'Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Riverbank Cave, Still-Water Cavern, Bogsunk Cavern (after obtaining the National Pokédex)', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'TradeVersion 3.0.0+', 'Violet': 'TradeVersion 3.0.0+', 'The Hidden Treasure of Area Zero': 'Coastal Biome, Torchlit Labyrinth (after boosting biodiversity in the Coastal Biome)'}","['Tackle', 'Growl', 'Vine Whip', 'Growth', 'Leech Seed', 'Razor Leaf', 'Poison Powder', 'Sleep Powder', 'Seed Bomb', 'Take Down', 'Sweet Scent', 'Synthesis', 'Worry Seed', 'Power Whip', 'Solar Beam']",1,,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,318,45,49,49,65,65,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5,Grass,Poison
2,Ivysaur,Seed Pokémon,"['Chlorophyll', 'Overgrow']",45,"['Monster', 'Grass']",20,1.0,13.0,141,Medium Slow,70,0.875,0.125,"{'Red': 'Evolve Bulbasaur', 'Blue': 'Evolve Bulbasaur', 'Blue (Japan)': 'Evolve Bulbasaur', 'Yellow': 'Evolve Bulbasaur', 'Gold': 'Time Capsule', 'Silver': 'Time Capsule', 'Crystal': 'Time Capsule', 'Ruby': 'Trade', 'Sapphire': 'Trade', 'Emerald': 'Trade', 'FireRed': 'Evolve Bulbasaur', 'LeafGreen': 'Evolve Bulbasaur', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Trade', 'Pearl': 'Trade', 'Platinum': 'Trade', 'HeartGold': 'Evolve Bulbasaur', 'SoulSilver': 'Evolve Bulbasaur', 'Pal Park': 'Field', 'Black': 'Poké Transfer', 'White': 'Poké Transfer', 'Black 2': 'Poké Transfer', 'White 2': 'Poké Transfer', 'X': 'Friend Safari (Grass)', 'Y': 'Friend Safari (Grass)', 'Omega Ruby': 'Trade', 'Alpha Sapphire': 'Trade', 'Sun': 'Trade', 'Moon': 'Trade', 'Ultra Sun': 'Evolve Bulbasaur', 'Ultra Moon': 'Evolve Bulbasaur', ""Let's Go Pikachu"": 'Evolve Bulbasaur', ""Let's Go Eevee"": 'Evolve Bulbasaur', 'Sword': 'Wild Area News, Evolve Pokémon HOME event Bulbasaur', 'Shield': 'Wild Area News, Evolve Pokémon HOME event Bulbasaur', 'Expansion Pass': 'Max Lair (Dynamax Adventure)', 'Brilliant Diamond': 'Evolve Bulbasaur', 'Shining Pearl': 'Evolve Bulbasaur', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'TradeVersion 3.0.0+', 'Violet': 'TradeVersion 3.0.0+', 'The Hidden Treasure of Area Zero': 'Evolve Bulbasaur'}","['Tackle', 'Growl', 'Vine Whip', 'Growth', 'Leech Seed', 'Razor Leaf', 'Poison Powder', 'Sleep Powder', 'Seed Bomb', 'Take Down', 'Sweet Scent', 'Synthesis', 'Worry Seed', 'Power Whip', 'Solar Beam']",1,Bulbasaur,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,2,405,60,62,63,80,80,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.25,0.5,0.5,Grass,Poison
3,Venusaur,Seed Pokémon,"['Chlorophyll', 'Overgrow', 'Thick Fat']",45,"['Monster', 'Grass']",20,2.0,100.0,208,Medium Slow,70,0.875,0.125,"{'Red': 'Evolve Ivysaur', 'Blue': 'Evolve Ivysaur', 'Blue (Japan)': 'Evolve Ivysaur', 'Yellow': 'Evolve Ivysaur', 'Gold': 'Time Capsule, Event', 'Silver': 'Time Capsule, Event', 'Crystal': 'Time Capsule, Event', 'Ruby': 'Trade', 'Sapphire': 'Trade', 'Emerald': 'Trade', 'FireRed': 'Evolve Ivysaur', 'LeafGreen': 'Evolve Ivysaur', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Trade', 'Pearl': 'Trade', 'Platinum': 'Trade', 'HeartGold': 'Evolve Ivysaur', 'SoulSilver': 'Evolve Ivysaur', 'Pal Park': 'Field', 'Black': 'Poké Transfer', 'White': 'Poké Transfer', 'Black 2': 'Poké Transfer', 'White 2': 'Poké Transfer', 'X': 'Evolve Ivysaur', 'Y': 'Evolve Ivysaur', 'Omega Ruby': 'Trade, Event', 'Alpha Sapphire': 'Trade, Event', 'Sun': 'Trade', 'Moon': 'Trade', 'Ultra Sun': 'Evolve Ivysaur', 'Ultra Moon': 'Evolve Ivysaur', ""Let's Go Pikachu"": 'Evolve Ivysaur', ""Let's Go Eevee"": 'Evolve Ivysaur', 'Sword': 'Evolve Wild Area News Ivysaur', 'Shield': 'Evolve Wild Area News Ivysaur', 'Expansion Pass': 'Evolve Ivysaur', 'Brilliant Diamond': 'Evolve Ivysaur', 'Shining Pearl': 'Evolve Ivysaur', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'TradeVersion 3.0.0+', 'Violet': 'TradeVersion 3.0.0+', 'The Hidden Treasure of Area Zero': 'Evolve Ivysaur'}","['Petal Dance', 'Tackle', 'Growl', 'Vine Whip', 'Growth', 'Petal Blizzard', 'Leech Seed', 'Razor Leaf', 'Poison Powder', 'Sleep Powder', 'Seed Bomb', 'Take Down', 'Sweet Scent', 'Synthesis', 'Worry Seed', 'Power Whip', 'Solar Beam']",1,Ivysaur,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,3,525,80,82,83,100,100,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.25,0.5,0.5,Grass,Poison
4,Charmander,Lizard Pokémon,"['Blaze', 'Solar Power']",45,"['Monster', 'Dragon']",20,0.6,8.5,65,Medium Slow,70,0.875,0.125,"{'Red': 'First partner Pokémon from Professor Oak in Pallet Town', 'Blue': 'First partner Pokémon from Professor Oak in Pallet Town', 'Blue (Japan)': 'First partner Pokémon from Professor Oak in Pallet Town', 'Yellow': 'Received from a Trainer on Route 24', 'Gold': 'Time Capsule, Event', 'Silver': 'Time Capsule, Event', 'Crystal': 'Time Capsule, Event', 'Ruby': 'Trade, Event', 'Sapphire': 'Trade, Event', 'Emerald': 'Trade, Event', 'FireRed': 'First partner Pokémon from Professor Oak in Pallet Town', 'LeafGreen': 'First partner Pokémon from Professor Oak in Pallet Town', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Trade, Event', 'Pearl': 'Trade, Event', 'Platinum': 'Trade, Event', 'HeartGold': 'Received from Professor Oak in Pallet Town after defeating Red', 'SoulSilver': 'Received from Professor Oak in Pallet Town after defeating Red', 'Pal Park': 'Field', 'Black': 'Global Link Event', 'White': 'Global Link Event', 'Black 2': 'Poké Transfer, Event', 'White 2': 'Poké Transfer, Event', 'X': 'Received from Professor Sycamore in Lumiose City after defeating him', 'Y': 'Received from Professor Sycamore in Lumiose City after defeating him', 'Omega Ruby': 'Trade, Event', 'Alpha Sapphire': 'Trade, Event', 'Sun': 'Trade', 'Moon': 'Trade', 'Ultra Sun': 'Route 3 (Island Scan)Su', 'Ultra Moon': 'Route 3 (Island Scan)Su', ""Let's Go Pikachu"": 'Route 3, Route 4, Rock Tunnel', ""Let's Go Eevee"": 'Route 3, Route 4, Rock Tunnel', 'Sword': 'Received from Leon at his house in Postwick after becoming Champion (Gigantamax Factor)', 'Shield': 'Received from Leon at his house in Postwick after becoming Champion (Gigantamax Factor)', 'Brilliant Diamond': 'Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (after obtaining the National Pokédex)', 'Shining Pearl': 'Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (after obtaining the National Pokédex)', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'Trade', 'Violet': 'Trade', 'The Hidden Treasure of Area Zero': 'Savanna Biome (after boosting biodiversity in the Savanna Biome)'}","['Scratch', 'Growl', 'Ember', 'Smokescreen', 'Dragon Breath', 'Fire Fang', 'Slash', 'Flamethrower', 'Scary Face', 'Fire Spin', 'Inferno', 'Flare Blitz']",1,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,309,39,52,43,60,50,65,1.0,1.0,2.0,2.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,2.0,0.5,1.0,0.5,Fire,
5,Charmeleon,Flame Pokémon,"['Blaze', 'Solar Power']",45,"['Monster', 'Dragon']",20,1.1,19.0,142,Medium Slow,70,0.875,0.125,"{'Red': 'Evolve Charmander', 'Blue': 'Evolve Charmander', 'Blue (Japan)': 'Evolve Charmander', 'Yellow': 'Evolve Charmander', 'Gold': 'Time Capsule, Evolve Event Charmander', 'Silver': 'Time Capsule, Evolve Event Charmander', 'Crystal': 'Time Capsule, Evolve Event Charmander', 'Ruby': 'Trade, Evolve Event Charmander', 'Sapphire': 'Trade, Evolve Event Charmander', 'Emerald': 'Trade, Evolve Event Charmander', 'FireRed': 'Evolve Charmander', 'LeafGreen': 'Evolve Charmander', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Trade, Evolve Event Charmander', 'Pearl': 'Trade, Evolve Event Charmander', 'Platinum': 'Trade, Evolve Event Charmander', 'HeartGold': 'Evolve Charmander', 'SoulSilver': 'Evolve Charmander', 'Pal Park': 'Field', 'Black': 'Poké Transfer, Evolve Event Charmander', 'White': 'Poké Transfer, Evolve Event Charmander', 'Black 2': 'Poké Transfer, Evolve Event Charmander', 'White 2': 'Poké Transfer, Evolve Event Charmander', 'X': 'Friend Safari (Fire)', 'Y': 'Friend Safari (Fire)', 'Omega Ruby': 'Trade, Evolve Event Charmander', 'Alpha Sapphire': 'Trade, Evolve Event Charmander', 'Sun': 'Trade', 'Moon': 'Trade', 'Ultra Sun': 'Evolve Charmander', 'Ultra Moon': 'Evolve Charmander', ""Let's Go Pikachu"": 'Evolve Charmander', ""Let's Go Eevee"": 'Evolve Charmander', 'Sword': 'Hammerlocke Hills, Lake of Outrage (Max Raid Battle)', 'Shield': 'Hammerlocke Hills, Lake of Outrage (Max Raid Battle)', 'Expansion Pass': 'Max Lair (Dynamax Adventure)', 'Brilliant Diamond': 'Evolve Charmander', 'Shining Pearl': 'Evolve Charmander', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'Trade', 'Violet': 'Trade', 'The Hidden Treasure of Area Zero': 'Evolve Charmander'}","['Scratch', 'Growl', 'Ember', 'Smokescreen', 'Dragon Breath', 'Fire Fang', 'Slash', 'Flamethrower', 'Scary Face', 'Inferno', 'Flare Blitz']",1,Charmander,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,2,405,58,64,58,80,65,80,1.0,1.0,2.0,2.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,2.0,0.5,1.0,0.5,Fire,
6,Charizard,Flame Pokémon,"['Tough Claws', 'Drought', 'Blaze', 'Solar Power']",45,"['Monster', 'Dragon']",20,1.7,90.5,209,Medium Slow,70,0.875,0.125,"{'Red': 'Evolve Charmeleon', 'Blue': 'Evolve Charmeleon', 'Blue (Japan)': 'Evolve Charmeleon', 'Yellow': 'Evolve Charmeleon', 'Gold': 'Time Capsule, Event', 'Silver': 'Time Capsule, Event', 'Crystal': 'Time Capsule, Event', 'Ruby': 'Trade, Event', 'Sapphire': 'Trade, Event', 'Emerald': 'Trade, Event', 'FireRed': 'Evolve Charmeleon', 'LeafGreen': 'Evolve Charmeleon', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Trade', 'Pearl': 'Trade', 'Platinum': 'Trade', 'HeartGold': 'Evolve Charmeleon', 'SoulSilver': 'Evolve Charmeleon', 'Pal Park': 'Field', 'Black': 'Poké Transfer, Evolve Charmeleon (from Event Charmander)', 'White': 'Poké Transfer, Evolve Charmeleon (from Event Charmander)', 'Black 2': 'Poké Transfer, Evolve Charmeleon (from Event Charmander)', 'White 2': 'Poké Transfer, Evolve Charmeleon (from Event Charmander)', 'X': 'Evolve Charmeleon', 'Y': 'Evolve Charmeleon', 'Omega Ruby': 'Trade, Event', 'Alpha Sapphire': 'Trade, Event', 'Sun': 'Trade, Event', 'Moon': 'Trade, Event', 'Ultra Sun': 'Evolve Charmeleon', 'Ultra Moon': 'Evolve Charmeleon', ""Let's Go Pikachu"": 'Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25', ""Let's Go Eevee"": 'Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25', 'Sword': 'Hammerlocke Hills (Max Raid Battle)', 'Shield': 'Hammerlocke Hills (Max Raid Battle)', 'Expansion Pass': 'Fields of Honor, Loop Lagoon (Max Raid Battle)', 'Brilliant Diamond': 'Evolve Charmeleon', 'Shining Pearl': 'Evolve Charmeleon', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'Trade, Poké Portal News', 'Violet': 'Trade, Poké Portal News', 'The Hidden Treasure of Area Zero': 'Evolve Charmeleon'}","['Dragon Claw', 'Heat Wave', 'Scratch', 'Growl', 'Ember', 'Smokescreen', 'Air Slash', 'Dragon Breath', 'Fire Fang', 'Slash', 'Flamethrower', 'Scary Face', 'Fire Spin', 'Inferno', 'Flare Blitz']",1,Charmeleon,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,0,3,534,78,84,78,109,85,100,1.0,1.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.25,0.5,1.0,Fire,Flying
7,Squirtle,Tiny Turtle Pokémon,"['Rain Dish', 'Torrent']",45,"['Monster', 'Water 1']",20,0.5,9.0,66,Medium Slow,70,0.875,0.125,"{'Red': 'First partner Pokémon from Professor Oak in Pallet Town', 'Blue': 'First partner Pokémon from Professor Oak in Pallet Town', 'Blue (Japan)': 'First partner Pokémon from Professor Oak in Pallet Town', 'Yellow': 'Received from Officer Jenny in Vermilion City after receiving the Thunder Badge', 'Gold': 'Time Capsule, Event', 'Silver': 'Time Capsule, Event', 'Crystal': 'Time Capsule, Event', 'Ruby': 'Trade, Event', 'Sapphire': 'Trade, Event', 'Emerald': 'Trade, Event', 'FireRed': 'First partner Pokémon from Professor Oak in Pallet Town', 'LeafGreen': 'First partner Pokémon from Professor Oak in Pallet Town', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Trade', 'Pearl': 'Trade', 'Platinum': 'Trade', 'HeartGold': 'Received from Professor Oak in Pallet Town after defeating Red', 'SoulSilver': 'Received from Professor Oak in Pallet Town after defeating Red', 'Pal Park': 'Pond', 'Black': 'Global Link Event', 'White': 'Global Link Event', 'Black 2': 'Poké Transfer, Event', 'White 2': 'Poké Transfer, Event', 'X': 'Received from Professor Sycamore in Lumiose City after defeating him', 'Y': 'Received from Professor Sycamore in Lumiose City after defeating him', 'Omega Ruby': 'Trade, Event', 'Alpha Sapphire': 'Trade, Event', 'Sun': 'Trade', 'Moon': 'Trade', 'Ultra Sun': 'Seaward Cave (Island Scan)Mo', 'Ultra Moon': 'Seaward Cave (Island Scan)Mo', ""Let's Go Pikachu"": 'Route 24, Route 25, Seafoam Islands', ""Let's Go Eevee"": 'Route 24, Route 25, Seafoam Islands', 'Sword': 'Wild Area News, Pokémon HOME Event', 'Shield': 'Wild Area News, Pokémon HOME Event', 'Expansion Pass': 'Master Dojo (Only one; Gigantamax Factor)', 'Brilliant Diamond': 'Grand Underground - Fountainspring Cave, Riverbank Cave, Still-Water Cavern (after obtaining the National Pokédex)', 'Shining Pearl': 'Grand Underground - Fountainspring Cave, Riverbank Cave, Still-Water Cavern (after obtaining the National Pokédex)', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'TradeVersion 3.0.0+', 'Violet': 'TradeVersion 3.0.0+', 'The Hidden Treasure of Area Zero': 'Canyon Biome (after boosting biodiversity in the Canyon Biome)'}","['Tackle', 'Tail Whip', 'Water Gun', 'Withdraw', 'Rapid Spin', 'Bite', 'Water Pulse', 'Protect', 'Rain Dance', 'Aqua Tail', 'Shell Smash', 'Iron Defense', 'Hydro Pump', 'Wave Crash']",1,,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,314,44,48,65,50,64,43,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0,Water,
8,Wartortle,Turtle Pokémon,"['Rain Dish', 'Torrent']",45,"['Monster', 'Water 1']",20,1.0,22.5,143,Medium Slow,70,0.875,0.125,"{'Red': 'Evolve Squirtle', 'Blue': 'Evolve Squirtle', 'Blue (Japan)': 'Evolve Squirtle', 'Yellow': 'Evolve Squirtle', 'Gold': 'Time Capsule, Evolve Event Squirtle', 'Silver': 'Time Capsule, Evolve Event Squirtle', 'Crystal': 'Time Capsule, Evolve Event Squirtle', 'Ruby': 'Trade, Evolve Event Squirtle', 'Sapphire': 'Trade, Evolve Event Squirtle', 'Emerald': 'Trade, Evolve Event Squirtle', 'FireRed': 'Evolve Squirtle', 'LeafGreen': 'Evolve Squirtle', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Trade', 'Pearl': 'Trade', 'Platinum': 'Trade', 'HeartGold': 'Evolve Squirtle', 'SoulSilver': 'Evolve Squirtle', 'Pal Park': 'Pond', 'Black': 'Poké Transfer, Evolve Event Squirtle', 'White': 'Poké Transfer, Evolve Event Squirtle', 'Black 2': 'Poké Transfer, Evolve Event Squirtle', 'White 2': 'Poké Transfer, Evolve Event Squirtle', 'X': 'Friend Safari (Water)', 'Y': 'Friend Safari (Water)', 'Omega Ruby': 'Trade, Evolve Event Squirtle', 'Alpha Sapphire': 'Trade, Evolve Event Squirtle', 'Sun': 'Trade', 'Moon': 'Trade', 'Ultra Sun': 'Evolve Squirtle', 'Ultra Moon': 'Evolve Squirtle', ""Let's Go Pikachu"": 'Evolve Squirtle', ""Let's Go Eevee"": 'Evolve Squirtle', 'Sword': 'Wild Area News', 'Shield': 'Wild Area News', 'Expansion Pass': 'Max Lair (Dynamax Adventure)', 'Brilliant Diamond': 'Evolve Squirtle', 'Shining Pearl': 'Evolve Squirtle', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'TradeVersion 3.0.0+', 'Violet': 'TradeVersion 3.0.0+', 'The Hidden Treasure of Area Zero': 'Evolve Squirtle'}","['Tackle', 'Tail Whip', 'Water Gun', 'Withdraw', 'Rapid Spin', 'Bite', 'Water Pulse', 'Protect', 'Rain Dance', 'Aqua Tail', 'Shell Smash', 'Iron Defense', 'Hydro Pump', 'Wave Crash']",1,Squirtle,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,2,405,59,63,80,65,80,58,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0,Water,
9,Blastoise,Shellfish Pokémon,"['Rain Dish', 'Torrent', 'Mega Launcher']",45,"['Monster', 'Water 1']",20,1.6,85.5,210,Medium Slow,70,0.875,0.125,"{'Red': 'Evolve Wartortle', 'Blue': 'Evolve Wartortle', 'Blue (Japan)': 'Evolve Wartortle', 'Yellow': 'Evolve Wartortle', 'Gold': 'Time Capsule, Event', 'Silver': 'Time Capsule, Event', 'Crystal': 'Time Capsule, Event', 'Ruby': 'Trade, Event', 'Sapphire': 'Trade, Event', 'Emerald': 'Trade, Event', 'FireRed': 'Evolve Wartortle', 'LeafGreen': 'Evolve Wartortle', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Trade', 'Pearl': 'Trade', 'Platinum': 'Trade', 'HeartGold': 'Evolve Wartortle', 'SoulSilver': 'Evolve Wartortle', 'Pal Park': 'Pond', 'Black': 'Poké Transfer, Evolve Wartortle (from Event Squirtle)', 'White': 'Poké Transfer, Evolve Wartortle (from Event Squirtle)', 'Black 2': 'Poké Transfer, Evolve Wartortle (from Event Squirtle)', 'White 2': 'Poké Transfer, Evolve Wartortle (from Event Squirtle)', 'X': 'Evolve Wartortle', 'Y': 'Evolve Wartortle', 'Omega Ruby': 'Trade, Event', 'Alpha Sapphire': 'Trade, Event', 'Sun': 'Trade', 'Moon': 'Trade', 'Ultra Sun': 'Evolve Wartortle', 'Ultra Moon': 'Evolve Wartortle', ""Let's Go Pikachu"": 'Evolve Wartortle', ""Let's Go Eevee"": 'Evolve Wartortle', 'Sword': 'Evolve Wild Area News Wartortle', 'Shield': 'Evolve Wild Area News Wartortle', 'Expansion Pass': 'Evolve Wartortle', 'Brilliant Diamond': 'Evolve Wartortle', 'Shining Pearl': 'Evolve Wartortle', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'TradeVersion 3.0.0+', 'Violet': 'TradeVersion 3.0.0+', 'The Hidden Treasure of Area Zero': 'Evolve Wartortle'}","['Tackle', 'Tail Whip', 'Water Gun', 'Withdraw', 'Flash Cannon', 'Rapid Spin', 'Bite', 'Water Pulse', 'Protect', 'Rain Dance', 'Aqua Tail', 'Shell Smash', 'Iron Defense', 'Hydro Pump', 'Wave Crash']",1,Wartortle,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,3,530,79,83,100,85,105,78,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0,Water,
10,Caterpie,Worm Pokémon,"['Run Away', 'Shield Dust']",255,Bug,15,0.3,2.9,53,Medium Fast,70,0.5,0.5,"{'Red': 'Route 25, Viridian Forest', 'Blue': 'Routes 2, 24, and 25, Viridian Forest', 'Blue (Japan)': 'Routes 2, 24, and 25, Viridian Forest', 'Yellow': 'Viridian Forest', 'Gold': 'Routes 2, 30, and 31, Ilex Forest and National ParkMorningDay', 'Silver': 'National Park (Bug-Catching Contest)TuThSa', 'Crystal': 'Routes 2, 24, 25, 30, and 31, Ilex Forest and National ParkMorningDay', 'Ruby': 'Trade', 'Sapphire': 'Trade', 'Emerald': 'Trade', 'FireRed': 'Routes 2, 24, and 25, Viridian Forest, Pattern Bush', 'LeafGreen': 'Routes 2, 24, and 25, Viridian Forest, Pattern Bush', 'Colosseum': 'Trade', 'XD': 'Trade', 'Diamond': 'Route 204 (FireRed)', 'Pearl': 'Route 204 (FireRed)', 'Platinum': 'Route 204, Eterna Forest (FireRed)', 'HeartGold': 'Routes 2, 30, and 31, Ilex Forest, National Park, Viridian ForestMorningDay', 'SoulSilver': 'National Park (Bug-Catching Contest)TuThSa', 'Pal Park': 'Forest', 'Black': 'Trade', 'White': 'Breed Metapod or Butterfree', 'Black 2': 'Trade', 'White 2': 'Breed Butterfree', 'X': 'Santalune Forest', 'Y': 'Route 2, Santalune Forest', 'Omega Ruby': 'Trade', 'Alpha Sapphire': 'Trade', 'Sun': 'Routes 1 and 5, Lush Jungle, Melemele Meadow', 'Moon': 'Routes 1 and 5, Lush Jungle, Melemele Meadow', 'Ultra Sun': 'Routes 1 and 5, Melemele Meadow', 'Ultra Moon': 'Routes 1 and 5, Melemele Meadow', ""Let's Go Pikachu"": 'Route 2, Viridian Forest', ""Let's Go Eevee"": 'Route 2, Viridian Forest', 'Sword': 'Route 1', 'Shield': 'Route 1', 'Brilliant Diamond': 'Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave Still-Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)', 'Shining Pearl': 'Trade', 'Legends: Arceus': 'Unobtainable', 'Scarlet': 'Unobtainable', 'Violet': 'Unobtainable'}","['Tackle', 'String Shot', 'Bug Bite']",1,,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,195,45,30,35,20,20,45,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,Bug,
